# Magic Lantern Simplified Chinese translation.
# Exact display string|translation
About Magic Lantern|关于 Magic Lantern
Enable/disable ML overlay graphics (zebra, cropmarks...)|启用或禁用 ML 叠加图形（斑马纹、裁切标记等）。
Equivalent ISO|等效 ISO
Exact FPS|精确帧率
Expo|曝光
Expo. Lock|曝光锁定
Expo. Override|曝光覆盖
Expo. Presets|曝光预设
Exposure duration|曝光时长
False color|伪色彩
File Manager|文件管理器
Flash Delay|闪光延时
Flash expo comp.|闪光曝光补偿
Flash Tweaks|闪光灯调整
Focal len|焦距
Focus|对焦
Focus box|对焦框
Focus box settings|对焦框设置
Focus confirm|合焦确认
Focus End Point|对焦终点
Focus Peak|峰值对焦
Focus peaking color (fixed or color coding).|峰值对焦颜色（固定或彩色编码）。
Focus peaking via DIGIC. No CPU usage!|使用 DIGIC 进行峰值对焦，不占用 CPU！
Focus Settings|对焦设置
Focus Shortcuts|对焦快捷键
Focus Stacking|焦点堆栈
Focus steps / picture|每张对焦步数
Focus using|对焦控制方式
Follow Focus|跟焦
Force HDMI-VGA|强制 HDMI-VGA
Force LiveView|强制实时取景
Frames|张数
Free Memory|可用内存
FullScreen|全屏
Games|游戏
Ghost image|幽灵图像
Global Draw|全局叠加显示
Gradual Exposure|渐变曝光
Grayscale|灰度
Green|绿色
GreenScreen|绿幕
HDR video|HDR 视频
Help|帮助
Help files not found|未找到帮助文件
Histogram|直方图
Histogram type|直方图类型
Horizontal selection|水平选择
Image Fine-tuning|图像微调
Image position|图像位置
Image Review|图像回放
Image review settings|图像回放设置
Increase SharpContrast|增强锐度与反差
Input source|输入源
Internal Temp|内部温度
Intervalometer|间隔拍摄
Intervalometer is disabled.|间隔拍摄已禁用。
Intervalometer Script|间隔拍摄脚本
ISO Selection|ISO 选择
ISO shifting|ISO 偏移
ISO tweaks. Negative gain has better highlight roll-off.|ISO 调整。负增益可获得更平滑的高光过渡。
Key Shortcuts|按键快捷方式
Language / Idioma / Langue / Sprache|语言
Large|大
Leave Menu|退出菜单
Lens Info Prefs|镜头信息设置
Lens info|镜头信息
Level|级别
LiveView|实时取景
LiveView zoom tweaks|实时取景变焦调整
Load modules after crash|崩溃后加载模块
Low|低
Low light|低照度
Lua scripting|Lua 脚本
LV brightness|实时取景亮度
LV button|实时取景按钮
LV contrast|实时取景反差
LV crazy colors|实时取景特殊色彩
LV DIGIC peaking|DIGIC 峰值对焦
LV display gain|实时取景显示增益
LV Display Presets|实时取景显示预设
LV saturation|实时取景饱和度
Magic Zoom|魔术变焦
Magenta|洋红色
Medium|中
Menu Preferences|菜单设置
Mirror Lockup|反光镜预升
Misc key settings|其他按键设置
ML digital ISO|ML 数字 ISO
My Menu|我的菜单
MyMenu|我的菜单
Mode|模式
Mode warning|模式警告
Modules|模块
Modules debug|模块调试
Motion Detect|运动检测
Movie|视频
Movie crop mode|视频裁切模式
Movie Logging|视频日志
Movie Record|视频录制
Movie Restart|视频自动重启
Movie Tweaks|视频调整
Modified|已修改
Name|名称
Negative|负片
Normal|普通
Number of pics|拍摄张数
OFF|关闭
OK|确定
ON|开启
Open submenu|打开子菜单
Optimize for|优化目标
Orientation|屏幕方向
Overlay|叠加显示
Pics at once|连拍张数
Picture Style|照片风格
Picture Viewer|图片浏览器
Play mode actions|回放模式操作
Play test tone|播放测试音
Position|位置
Post Deflicker|后期去闪烁
Prefs|偏好设置
Press INFO|按 INFO
Press MENU|按 MENU
Press Q / PLAY|按 Q / 回放
Press SET to choose MyMenu items or hide what you don't use.|按 SET 选择“我的菜单”项目，或隐藏不用的项目。
Protect Image|保护图像
Quality warning|画质警告
Quick Erase|快速删除
Quick Zoom|快速放大
QuickReview|快速回放
Ramp duration|渐变时长
Ramping speed|渐变速度
Rate Image|图像评分
REC key|录像键
REC key is disabled.|录像键已禁用。
REC/STBY notify|录像/待机提示
Recent|最近使用
Recording|正在录像
Red|红色
Require long press|需要长按
Reset setup|重置设置
Restore ML defaults|恢复 ML 默认设置
Rolling shutter|果冻效应
Run focus stack|开始焦点堆栈
Saturation|饱和度
Save config|保存配置
Save config now|立即保存配置
Scaling|缩放
Screen Layout|屏幕布局
Scripts|脚本
Screenshot - 10s|10 秒后截图
Select actions for half-shutter.|选择半按快门时执行的操作。
SET action|SET 键操作
SET at startup|启动时按 SET
Sharpness|锐度
Shoot|拍摄
Shoot Preferences|拍摄设置
Shortcuts (LV only)|快捷键（仅实时取景）
Show console|显示控制台
Show GUI events|显示界面事件
Show in photo mode|在照片模式显示
Show in PLAY mode|在回放模式显示
Show tasks|显示任务
Show which parts of the image are in focus.|显示图像中合焦的区域。
Shutter|快门
Shutter Button|快门按钮
Shutter fine-tuning|快门微调
Shutter Lock|快门锁定
Shutter range|快门范围
Simple|简单
Size|大小
Small|小
Snap Simulation|快照模拟
Sound|声音
Sound Record|声音录制
Speaker Volume|扬声器音量
Speed|速度
Spot Position|点测光位置
Spotmeter|点测光
Spotmeter Unit|点测光单位
Start after|延时开始
Start Delay|开始延时
Start in MyMenu|从我的菜单启动
Start only|仅开始
Start trigger|启动触发方式
Start/Stop|开始/停止
Status|状态
Step Delay|步进延时
Step Size|步进大小
Step Wait|步进等待
Stop after|拍摄后停止
Stop only|仅停止
Take a Pic|拍摄一张
Take a pic every|拍摄间隔
Take pictures at fixed intervals (for timelapse).|按固定间隔拍摄（用于延时摄影）。
Test beep sound|测试蜂鸣声
This feature only works in LiveView.|此功能仅在实时取景中可用。
This feature only works in movie mode.|此功能仅在视频模式中可用。
Threshold|阈值
Time Indicator|时间指示
Top-Left|左上
Top-Right|右上
Trap Focus|陷阱对焦
Trigger by|触发依据
Trigger level|触发阈值
Trigger mode|触发模式
UpsideDown mode|倒置模式
Use Autofocus|使用自动对焦
Use SET button|使用 SET 按钮
Vectorscope|矢量示波器
Vertical selection|垂直选择
Version|版本
Very high|很高
Very low|很低
Video Hacks|视频高级功能
Vignetting|暗角
Warning for bad settings|错误设置警告
Warning message|警告消息
Waveform|波形图
WB warning|白平衡警告
White Balance|白平衡
Wind Filter|风噪滤波
Yellow|黄色
Zebra stripes: show overexposed or underexposed areas.|斑马纹：显示过曝或欠曝区域。
Zebras|斑马纹
Zero|零
Zoom box for checking focus. Can be used while recording.|用于检查对焦的放大框，录像时也可使用。
Zoom on HalfShutter|半按快门时放大
Zoom with Focus Ring|使用对焦环放大
!!! DISABLE THIS OPTION WHEN YOU ARE NOT USING IT !!!  |！！！不用时请关闭此选项！！！  
(none)|（无）
-16px / -8px / Normal / +8px / +16px.|-16px / -8px / 正常 / +8px / +16px。
0 (here)|0（当前位置）
1 EV / 128 frames|1 EV / 128 帧
1 EV / 16 frames|1 EV / 16 帧
1 EV / 256 frames|1 EV / 256 帧
1 EV / 32 frames|1 EV / 32 帧
1 EV / 512 frames|1 EV / 512 帧
1 EV / 64 frames|1 EV / 64 帧
1 EV / 8 frames|1 EV / 8 帧
1 EV / 8 frames / 1 EV / 16 frames / 1 EV / 32 frames / 1 EV / 64 frames / |1 EV / 8 帧 / 1 EV / 16 帧 / 1 EV / 32 帧 / 1 EV / 64 帧 / 
1.0x (default)|1.0x（默认）
1.0x = Canon default, 0.4x = 30minutes, 1.4x = fast card.|1.0x = 佳能默认，0.4x = 30 分钟，1.4x = 高速卡。
1:1 displays recorded pixels, 2:1 displays them doubled.|1:1 显示记录像素，2:1 将像素放大一倍。
2.500 (from 0)|2.500（从 0 起）
4:3 display,auto|4:3 显示，自动
4:3 display,auto / 16:10 HDMI,t/b / 16:9  HDMI,t/b / Bottom,under 3:2 / |4:3 显示，自动 / 16:10 HDMI，上下 / 16:9 HDMI，上下 / 底部，3:2 下方 / 
=> adjust ISO, shutter speed and aperture without large jumps.|=> 调整 ISO、快门和光圈，避免数值大幅跳变。
A = average, B = instant bitrate, Q = instant QScale.|A = 平均码率，B = 即时码率，Q = 即时 QScale。
A trick to allow 3rd party flashes to fire in LiveView.|允许第三方闪光灯在实时取景中闪光。
Absolute Zero Sharpness|绝对零锐度
Action type|操作类型
Actual FPS|实际帧率
Adjust Kelvin white balance and GM/BA WBShift.|调整色温白平衡及绿/洋红、蓝/琥珀偏移。
Adjust Kelvin white balance.|调整色温白平衡。
Adjust aperture. También hay displays APEX aperture (Av) in stops.|调整光圈，并以档数显示 APEX 光圈值（Av）。
Adjust color tone in current picture style.|调整当前照片风格的色调。
Adjust contrast in current picture style.|调整当前照片风格的反差。
Adjust dark level, as with 'dcraw -k'. Fixes green shadows.|像“dcraw -k”一样调整暗电平，可修正阴影偏绿。
Adjust saturation in current picture style.|调整当前照片风格的饱和度。
Adjust sharpness in current picture style.|调整当前照片风格的锐度。
Advanced bracketing (expo, flash, DOF). Press shutter once.|高级包围拍摄（曝光、闪光、景深），只需按一次快门。
Advanced options for experts. Use with care.|供高级用户使用，请谨慎设置。
Advanced: WBShift, RGB multipliers, Push-button WB...|高级：白平衡偏移、RGB 倍率、快捷白平衡等。
Also up/down keys/joystick work as +/- rating if zoomed out.|缩小显示时，上下键或摇杆也可增减评分。
Alternates ISO between frames. Flickers while recording.|逐帧交替 ISO；录像时画面会闪烁。
Always use LiveView (with manual lens or after lens swap).|始终使用实时取景（手动镜头或更换镜头后）。
Arkanoid game|打砖块游戏
Arkanoid game.|打砖块游戏。
Auto adjust Kelvin + G/M|自动调整色温和绿/洋红偏移
Auto exposure algorithm.|自动曝光算法。
Auto-update|自动更新
Autofocus, number of pics to take at once...|自动对焦、每次拍摄张数等。
B multiplier|蓝色通道倍率
BLUE channel multiplier, for custom white balance.|自定义白平衡的蓝色通道倍率。
Balanced|均衡
Bit Rate (CBR)|比特率（CBR）
Bitmap (1/5)|位图（1/5）
Blue-Amber WBShift; 1 unit = 5 mireks on Kelvin axis.|蓝/琥珀白平衡偏移；1 单位等于色温轴上的 5 微倒度。
Boost on WB adjust|调整白平衡时增强显示
Bottom,under 3:2|底部，3:2 下方
Bottom,under16:9|底部，16:9 下方
Bypass loading ML|跳过加载 ML
Can select between Metric and Imperial focus distance units|可选择公制或英制对焦距离单位
CanonMnu:Hold->PLAY|佳能菜单：保持后进入回放
Capability|功能
Cartoonish look obtained by emphasizing the edges.|通过强化边缘获得卡通效果。
Change current picture style.|更改当前照片风格。
Changing FPS has side effects - choose what's best for you:|更改帧率有副作用，请选择适合的优化方式：
Choose a configuration preset and start customize(restart needed).|选择配置预设并开始自定义（需要重启）。
Choose a configuration preset.|选择配置预设。
Choose an EV image indicator to display on the histogram.|选择在直方图中显示的 EV 图像指示方式。
Choose between YUV-based (JPG) or RAW-based histogram.|选择基于 YUV（JPG）或 RAW 的直方图。
Choose when the picture should be taken:|选择拍摄时机：
Chose the action type to perform when triggered.|选择触发后执行的操作类型。
Circle of confusion used for DOF calculations.|用于景深计算的弥散圆直径。
Clear bitmap overlays from LiveView display.|清除实时取景中的位图叠加层。
Color scheme for bitmap overlays (ML menús, Canon menus...)|位图叠加层的配色方案（ML 菜单、佳能菜单等）。
Compare Images|比较图像
Config auto save, manual save, restore defaults...|配置自动保存、手动保存及恢复默认值等。
Config optio - SET at startup|配置选项－启动时按 SET
Configure ML beeps and play test tones (440Hz, 1kHz...)|设置 ML 蜂鸣并播放测试音（440Hz、1kHz 等）。
Corner correction        |边角校正        
Correction applied between central area and corners.|在画面中央与边角之间应用校正。
Correction with a stronger bias towards corners.|对边角应用更强的校正。
Crazy color effects that may help with white balance.|可辅助判断白平衡的特殊色彩效果。
Creative Effects|创意效果
Cropmarks are mostly used in movie mode.|裁切标记主要用于视频模式。
Cropmarks or custom grids for framing.|用于构图的裁切标记或自定义网格。
Custom white balance is not active => not used.|未启用自定义白平衡，因此此项无效。
Darken sharp edges in bright areas.|加深明亮区域中的锐利边缘。
Default / Dark / Bright Gray / Dark Gray / Dark Red / Dark Green.|默认 / 暗色 / 亮灰 / 深灰 / 深红 / 深绿。
Default value: 19 for APS-C and 29 for full-frame cameras.|默认值：APS-C 为 19，全画幅为 29。
Delay between the detected motion and the picture taken.|检测到运动后至拍摄之间的延时。
Delete files quickly with SET+Erase (be careful!!!)|用 SET+删除键快速删除文件（请务必小心！）
Desaturate|去饱和
Diagnostic options for modules.|模块诊断选项。
Diffraction-aware|考虑衍射
Diffraction-aware: consider both defocus and diffraction blur.|同时考虑失焦模糊和衍射模糊。
Disable sharpening completely (below Canon's zero level).|完全关闭锐化（低于佳能的零级锐度）。
Display the 35mm equiv. focal length including crop factor.|显示包含裁切系数的 35mm 等效焦距。
Display total CPU usage (percentage).|显示 CPU 总占用率。
Display warning dots when one color channel is clipped.|任一色彩通道溢出时显示警告点。
Displays overlay graphics upside-down and flips arrow keys.|倒置叠加图形并反转方向键。
Displays the tasks started by Canon and Magic Lantern.|显示佳能和 Magic Lantern 启动的任务。
Do not load ML if you start the camera with SET pressed (default)|按住 SET 开机时不加载 ML（默认）
Don't click me!|不要点我！
Dump ROM and RAM|转储 ROM 和 RAM
Dump all image buffers (LV, HD, RAW) from current video mode.|转储当前视频模式的所有图像缓冲区（LV、HD、RAW）。
Dump image buffers|转储图像缓冲区
Duration of FPS ramping (in real-time, not in playback).|帧率渐变时长（实际时间，不是回放时间）。
EDMAC reverse engineering and diagnostic tools.|EDMAC 逆向工程与诊断工具。
EDMAC reverse engineering and diagnostic tools.\n\n|EDMAC 逆向工程与诊断工具。\n
EDmac tools|EDmac 工具
EF-S18-55mm f/3.5-5.6 IS|EF-S18-55mm f/3.5-5.6 IS
EFIC chip temperature (somewhere on the mainboard).|EFIC 芯片温度（主板上的某处）。
ETTR hint|向右曝光提示
EXP, level=8|曝光，级别=8
EXP: reacts to exposure changes (large movements).|曝光：检测曝光变化（较大运动）。
Edge + chroma|边缘＋色度
Edge Emphasis|边缘增强
Edge image|边缘图像
Edit in LiveView|在实时取景中编辑
Exact FPS (computed). For fine tuning, change timer values.|计算得到的精确帧率；可修改定时器值进行微调。
Experimental image filters found by digging into DIGIC.|从 DIGIC 中发现的实验性图像滤镜。
Expo. Lock is disabled.|曝光锁定已禁用。
Expo. change|曝光变化
Exposure Adjust|曝光调整
Exposure Fusion|曝光融合
Exposure aid: display brightness from a small spot.|曝光辅助：显示小区域的亮度。
Exposure aid: each brightness level is color-coded.|曝光辅助：用不同颜色标记各亮度级别。
Exposure aid: shows the distribution of brightness levels.|曝光辅助：显示亮度级别分布。
Exposure aid: useful for checking overall brightness.|曝光辅助：用于检查整体亮度。
Exposure simulation.|曝光模拟。
Extender|增距镜
Extreme Chroma|极端色度
Extreme corner correction|强力边角校正
FPS override|帧率覆盖
FPS ramping|帧率渐变
FPS timer A|帧率定时器 A
FPS timer B|帧率定时器 B
FPS value for recording. Video will play back at Canon FPS.|录像使用的帧率；视频仍按佳能帧率回放。
FW default|固件默认
FW default / CBR / VBR (QScale).|固件默认 / CBR / VBR（QScale）。
Faithful|可靠设置
False color palettes for exposure, banding, green screen...|用于曝光、条带检测和绿幕的伪色彩调色板。
Faster zoom in Play mode, for pixel peeping :)|在回放模式中快速放大，便于像素级检查。
Filter bias|滤镜偏移
Fine details|精细细节
Fine-tune shutter speed in approx 20-microsecond increments.|以约 20 微秒为步长微调快门速度。
Fine-tune shutter value. Displays APEX Tv or degrees equiv.|微调快门值，并显示 APEX Tv 或等效角度。
Fine-tune the focus detection algorithm:|微调对焦检测算法：
Firmware default / CBR (recommended) / VBR (very risky)|固件默认 / CBR（推荐）/ VBR（风险很高）
Flash exposure compensation, 3rd party flash in LiveView...|闪光曝光补偿、实时取景中的第三方闪光灯等。
Flash exposure compensation, from -10EV to +3EV.|闪光曝光补偿，范围 -10EV 至 +3EV。
Focus Distance Units|对焦距离单位
Focus box / Top-Left / Top-Right / Bottom-Right / Bottom-Left.|对焦框 / 左上 / 右上 / 右下 / 左下。
Focus peaking vía DIGIC. No CPU usage!|通过 DIGIC 实现峰值对焦，不占用 CPU！
Focus+ZREC|对焦＋录像变焦
For LiveView preview only. Does not affect recording.|仅影响实时取景预览，不影响录像。
For intervalometer, motion detect, trap focus, audio remote.|用于间隔拍摄、运动检测、陷阱对焦和声音遥控。
For troubleshooting.|用于故障排查。
Force low resolution (720x480) on HDMI displays.|强制 HDMI 显示使用低分辨率（720x480）。
Formula for computing the depth of field:|景深计算公式：
Free memory, shared between ML and Canon firmware.|ML 与佳能固件共享的可用内存。
Full Z on last pos.|在上次位置完全放大
Full zoom on AF pt.|在自动对焦点完全放大
G multiplier|绿色通道倍率
GREEN channel multiplier, for custom white balance.|自定义白平衡的绿色通道倍率。
GREEN=shoot, CYAN=srm, BLUE=maybe free, RED=maybe used.|绿色=拍摄内存，青色=SRM，蓝色=可能空闲，红色=可能占用。
Ghost image is disabled.|幽灵图像已禁用。
Global Focus|全局对焦
Grayscale image|灰度图像
Grayscale recording. Use WB or pic styles for fine tuning.|灰度录像；可用白平衡或照片风格进行微调。
Green Bars|绿色条
Green Bars / SplitScreen / SS ZeroCross.|绿色条 / 分屏 / 快门速度过零。
Green-Magenta white balance shift, for fluorescent lights.|绿/洋红白平衡偏移，适用于荧光灯。
Half Shutter|半按快门
HiJello, FastTv|果冻效应较强，快速快门
High|高
High values = lower FPS, more jello effect, faster shutter.|数值越高，帧率越低、果冻效应越强、快门越快。
High values = lower FPS, shutter speed converges to 1/fps.|数值越高，帧率越低，快门速度趋近于 1/帧率。
Higher values = less sensitive to motion.|数值越高，对运动越不敏感。
How fast the exposure transitions should be.|曝光过渡速度。
How many pictures to take at once (for each trigger event).|每次触发连续拍摄的张数。
How many pixels are considered in focus (percentage).|判定为合焦的像素比例。
How to show focus confirmation (green bars / split screen).|合焦确认的显示方式（绿色条或分屏）。
How to trigger the intervalometer start:|间隔拍摄的启动方式：
ISO -> |ISO -> 
ISO 0/0,4.0EV|ISO 0/0，4.0EV
ISO value for one half of the frames.|一半帧使用的 ISO 值。
ISO value for the other half of the frames.|另一半帧使用的 ISO 值。
ISO,Tv|ISO、Tv
If ON, you have to hold half-shutter pressed for 1 second.|开启后，需要持续半按快门 1 秒。
If RAW data is not available, it will fall back to YUV-based.|RAW 数据不可用时将改用 YUV 数据。
If enabled, ML settings are saved automatically at shutdown.|启用后，关机时自动保存 ML 设置。
Image rePlay mode actions|图像回放模式操作
Image review - Image Review|图像回放－图像回放
Image viewer that integrates with the file manager.|与文件管理器集成的图像浏览器。
In M mode, adjust Tv/Av/ISO without changing exposure.|M 模式下调整 Tv、Av 或 ISO，同时保持曝光不变。
It may change the way you use M mode. Maybe I'm just crazy.|它可能会改变你使用 M 模式的方式。
Keep console shown after modules were loaded|模块加载后继续显示控制台
Keep the same exposure (brightness) as with default FPS.|保持与默认帧率相同的曝光亮度。
L EXT -40Square|左声道 EXT -40 方波
LED, popup|LED、弹窗
LED, popup, beep|LED、弹窗、蜂鸣
LED, popup, beep / LED, popup, rep. beep / LED, popup / popup, beep / |LED、弹窗、蜂鸣 / LED、弹窗、重复蜂鸣 / LED、弹窗 / 弹窗、蜂鸣 / 
LED, popup, rep. beep|LED、弹窗、重复蜂鸣
Landscape|风光
Lens ID|镜头 ID
Lens: EF-S18-55mm f/3.5-5.6 IS, 0mm f/25.7|镜头：EF-S18-55mm f/3.5-5.6 IS，0mm f/25.7
Lens: EF-S18-55mm f/3.5-5.6 IS, 0mm f/5.6|镜头：EF-S18-55mm f/3.5-5.6 IS，0mm f/5.6
Linear|线性
Linear or logarithmic histogram.|线性或对数直方图。
LiveView: adjust Kelvin and G-M once (Push-button WB).|实时取景：一次性调整色温和绿/洋红偏移（快捷白平衡）。
Load ML only if SET is pressed at startup (optional)|仅在开机时按住 SET 才加载 ML（可选）
Load modules even after camera crashed and you took battery out.|即使相机崩溃并取出过电池，也加载模块。
Local Focus|局部对焦
Log|对数
Low Jello, 180d|低果冻效应，180 度快门
Low light: at low FPS, use 1/FPS (360 deg) shutter speeds.|低照度：低帧率时使用 1/帧率（360 度）快门。
Low-level manual exposure controls (bypasses Canon limits).|底层手动曝光控制（绕过佳能限制）。
Lua scripting.|Lua 脚本。
LumaFast, over 99%|快速亮度，超过 99%
ML Translation.|ML 翻译。
ML/SETTINGS/|ML/SETTINGS/
MLT Settings|MLT 设置
MLT Settings - Status|MLT 设置－状态
MLV Player|MLV 播放器
Magic Lantern help files could not be found.              |找不到 Magic Lantern 帮助文件。              
Magic Zoom is disabled.|魔术变焦已禁用。
Magnification|放大倍率
Main Clock|主时钟
Make sure all ML files are installed to your card.        |请确认所有 ML 文件均已安装到存储卡。        
Makes LiveView usable in complete darkness (photo mode).|使实时取景在全黑环境中仍可用（照片模式）。
Marshall / SmallHD / 50-55% / 67-72% / Banding detection / GreenScreen.|Marshall / SmallHD / 50-55% / 67-72% / 条带检测 / 绿幕。
May make the image easier to see from difficult angles.|可让画面在特殊观看角度下更清晰。
Measurement unit for brightness level(s).|亮度级别的计量单位。
Memory patches|内存补丁
Mid-range correction     |中间区域校正     
Misc  - DigitalZoom Shortcut|其他－数码变焦快捷键
Misc options related to shortcut keys.|其他快捷键相关选项。
Module disabled.|模块已禁用。
Module disabled. Press [Q] for more info.|模块已禁用，按 [Q] 查看详情。
Module loaded successfully. Press [Q] for more info.|模块加载成功，按 [Q] 查看详情。
Monochrome|单色
Movie Restart, Movie Logging, REC/Standby Notify...|视频自动重启、视频日志、录像/待机提示等。
Movie: DISP + Zoom In toggles between 1x and 3x modes.|视频模式：DISP＋放大键切换 1x 和 3x。
Negative image. Inverts all colors :)|负片效果，反转所有颜色。
Normal / High / Very high.|普通 / 高 / 很高。
Num. of LV display presets. Switch with DISP or from LiveV.|实时取景显示预设数量，可用 DISP 或在实时取景菜单切换。
Num. of LV display presets. Switch with INFO or from LiveV.|实时取景显示预设数量，可用 INFO 或在实时取景菜单切换。
Number of pics taken + number of LiveView actuations|已拍照片数＋实时取景启动次数
Numbers represent the percentage of pixels clipped.|数值表示溢出像素的百分比。
OFF (1) / 2 / 3 / 4.|关闭（1）/ 2 / 3 / 4。
OFF / 5:4 (1.25) / 4:3 (1.33) / 7:5 (1.4) / 3:2 (1.5) / 5:3 (1.66) / 9:5 (1.8) / |关闭 / 5:4（1.25）/ 4:3（1.33）/ 7:5（1.4）/ 3:2（1.5）/ 5:3（1.66）/ 9:5（1.8）/ 
OFF / Av,ISO / ISO,Av.|关闭 / Av、ISO / ISO、Av。
OFF / Elapsed / Remain.Card / Remain.4GB.|关闭 / 已录时间 / 存储卡剩余 / 4GB 剩余。
OFF / Exposure Fusion / Compare Images / Timelapse Play / Exposure Adjust.|关闭 / 曝光融合 / 比较图像 / 延时回放 / 曝光调整。
OFF / LiveView / QuickReview / ON, all modes.|关闭 / 实时取景 / 快速回放 / 开启，所有模式。
OFF / Mode 1 / Mode 2 / Mode 3.|关闭 / 模式 1 / 模式 2 / 模式 3。
OFF / ON (fast zoom) / SinglePress -> 100% / Full zoom on AF pt. / |关闭 / 开启（快速放大）/ 单按 -> 100% / 在自动对焦点完全放大 / 
OFF / Percentage / Busy tasks (ABS) / Busy tasks (REL).|关闭 / 百分比 / 忙碌任务（绝对）/ 忙碌任务（相对）。
OFF / Press SET / Press DISP.|关闭 / 按 SET / 按 DISP。
OFF / Rectilinear / Panini.|关闭 / 直线投影 / Panini 投影。
OFF / Red Crossout / REC/STBY.|关闭 / 红色叉号 / 录像/待机。
OFF / Slightly sharper / Edge image / Edge + chroma.|关闭 / 轻微锐化 / 边缘图像 / 边缘＋色度。
OFF / Startup mode / Startup key / Preset 1    / Preset 2    / Preset 3    / |关闭 / 启动模式 / 启动按键 / 预设 1 / 预设 2 / 预设 3 / 
OFF / Startup mode / Startup key.|关闭 / 启动模式 / 启动按键。
OFF / Tv,Av / Av,Tv.|关闭 / Tv、Av / Av、Tv。
OFF / Tv,ISO / ISO,Tv.|关闭 / Tv、ISO / ISO、Tv。
OFF / other than AF / other than MF.|关闭 / 非自动对焦时 / 非手动对焦时。
OFF / other than M / other than Av / other than Tv / other than P.|关闭 / 非 M 时 / 非 Av 时 / 非 Tv 时 / 非 P 时。
OFF / other than RAW / other than fine.|关闭 / 非 RAW 时 / 非精细画质时。
ON (1s)|开启（1 秒）
ON (fast zoom)|开启（快速放大）
ON, 10s|开启，10 秒
ON, 35mm eq.|开启，35mm 等效
ON, all modes|开启，所有模式
ON,0.5,local|开启，0.5，局部
Only the current preset: ML/SETTINGS/|仅当前预设：ML/SETTINGS/
Options for PLAY (image review) mode.|回放（图像查看）模式的选项。
Overlay any image in LiveView. In PLAY mode, press LV btn.|在实时取景中叠加任意图像；回放模式中按 LV 键。
Palette      |调色板      
Percent|百分比
Percent, AFbox|百分比，对焦框
Percentage of overall brightness level.|整体亮度级别的百分比。
Portrait|人像
Position of top/bottom bars, useful for external displays.|顶部/底部栏的位置，适用于外接显示器。
Position of zoom box (fixed or linked to focus box).|放大框位置（固定或跟随对焦框）。
Post deflicker sidecar files.|后期去闪烁辅助文件。
Powersave in LiveView|实时取景节电
Press DISP|按 DISP
Press SET|按 SET
Preview straightened images from fisheye lenses. LV+PLAY.|预览经鱼眼校正的图像。按 LV＋回放。
